reviewer_name,review_text
Kristy,"Let me first say the content of this book is great - my apologies to the authors for docking a star. That said, I should have docked more based on how the kindle version displays. Look at the size of the equation examples on the bottom half of the image with the pink highlight. Even when I enlarge the text (see the other image without a page number) the equations are horribly tiny. The image with a page number at the bottom shows you how it is displayed in a PDF version (which I had to get AFTER I purchased this from amazon). (Apologizes for not being able to give image numbers, but the pics uploaded in a different order than I submitted them).
Terrible quality on amazon's part and this book is frequently used as a college text book, so knowing the equations are essential."
Amazon Customer,"I recently made a career transition from academia as a Professor of IT Management to industry as Senior Data Scientist at one of the Big Four consulting firms. The research skills that I use for academic research are the same ones that I use to help my firm discover data-driven insights that are actionable and transformative for restructuring strategies and operations to drive business value. I thought this would be an easy argument to make during the interview process, but in the end I had to develop a less academic-sounding argument for the interviews. Provost and Fawcetts’ Data Science for Business was ideally suited for this purpose.

Provost and Fawcett is THE text if you want to learn advanced statistical methods in business-related problem-solving contexts separate from any specific programming language like R. It’s also the right choice if you want to understand data science from a strategic perspective and its process characteristics. Provost and Fawcett is extremely useful for anyone who is trying to get up to speed and demonstrate knowledge in business analytics or data science in relatively short manner. This text is extremely well written—the authors use non-technical language for the most part—and it’s interesting!"
K. Gilman,"This book strikes the right balance between providing practical advice for the aspiring data scientist and giving a solid foundation in the theory that can be generalized beyond the contents of the book. A lot of business books claim to be appropriate for a wide audience from novice to expert but this one really hits that mark. I've searched thoroughly for a book that is a comprehensive accounting of the techniques and possibilities of data analytics and been disappointed until I found this one. I've read the entire thing and I find myself referring back to it frequently. Whether your planning to perform data mining work yourself or you just want to really understand what it's all about, you won't be disappointed. There are some additional topics that I had wished were included in more detail but I've discovered that this is because this is still a young discipline and those things (e.g., formal detailed methodologies) just don't exist yet. Don't let the low price fool you, this is the most comprehensive book of usable data mining available right now."
Thomas,"Note - I was provided an ebook version in exchange for my review as part of the Library Thing Early Reviewers program.
In brief –
This is a great book for any in the data science field or wanting to just understand “Big Data” or a manager/professional just trying to “get current. “ I have a masters degree in software engineering with a data science background and three years experience in a prior job in Data warehousing. It was a long read, especially with the holidays, but well worth it, and more enjoyable than almost every technical book I have every read.
Strengths – Organization, having technical details in a side by side section for those who want it, covering details from definition, through use and application, as well as doing a good job explaining similarities and differences on key topics.
Weaknesses – there are a few small places I wanted more. Meaning if they could have somehow had more examples for the different models, situations, etc., especially as I got into more of the predictive models."
Dom,"An excellent resource for the Business Analyst (or the curious executive) looking for a comprehensive understanding of data analytics for business, especially the newer area of massive data/big data for business. This book gives a really solid grounding in both the business (strategic) and data (analytic, technical) aspects of modern data analytics. The authors clearly show that data is the next wave of change and that it will require a mindset change across all business functions--a mindset they call data-analytic thinking. If you need to master/improve this thinking skill set--here is a great place to start no matter what your job title.
Provost and Fawcett have put a lot of work into the instructional design of this book--you can follow it down to the technical/mathematical level of algorithm design or just read the content concerning business strategy and general data design and use. Either way, you will achieve a satisfactory understanding that serves your purpose--the authors maintain a conceptual continuity at two or three levels of discourse. Very nicely done and very engaging. Five stars."
Martin Isaksen,"This book is for people to gain an understanding of what data science truly is and how it can help with business decisions. The authors do a great job of keeping the concepts applicable to actual business events. I am a database developer, who also builds data mining models, and I wish more of my company's business managers would read this book! Data is an asset and should be treated as such. I highly recommend this book for business users and anyone wanting to know the fundamentals of data science.

Pros:
Very direct and easy to read (for a data science book)
Ties data science into real world business scenarios
Gives basic fundamentals on why and how a company can adapt data science to gain a competitive edge

Cons:
Not directed towards theoretical understandings of algorithms
No exercises to practice concepts

The cons are more disclaimers than cons, but thought you'd like to know. Take a ""Look Inside"" to get a feel for it."
Stewart Paulson,The institution strategy and goals need to be reflected in the procedures used to analyse the data base of the institution and the determination as to what data is relevant. The book discusses ways to obtain the data needed and the short term volatility in return to the company that can result. But the authors show that this can eventually lead to improved efficiency focus and profitability for the company. The book requires a background in a number of supportive academics for full understanding . The discipline has defined its own language much like most of the technolgical disciplines and is best appreciated by those familiar with the vocabulary. It is a book that warrants study not just as a quick read for introduction. For a person studying or practicing in this area I highly recommend this book for both its interest and as a reference book. Foster Provost and Tom Fawcett have made a valuable contribution to the understanding of Data Science.
Jean,"After letting this book sit on my shelf for more than 2 years, I finally cracked it open, expecting to struggle through it. To my surprise, everything in here just clicked — as much as I’d like to think it’s because I have a natural affinity for this topic, I’m pretty sure it’s due to the authors doing a fantastic job breaking down the concepts into really clear, easy to understand language. Seriously, to all the other business/tech/data science writers out there, you have no excuse now for writing unintelligible, confusing, jargon-y books. Data science really doesn’t have to be this mysterious dark art that some others try to present it as—thank you Foster Provost and Tom Fawcett for cutting through the crap and dispelling that myth with this book."
Kindle Customer,"This is an excellent textbook on data science. The text itself explains concepts and theories well and provides definitions, examples, and formulas that help the reader understand and apply these concepts. The information presented is well-organized, and the visual aids include ample graphs and charts. Section breaks are obvious with well-designed titles. Chapters are easy enough to read but don't over-simplify important concepts. Inclusion of Glossary, Bibliography, and index, as well as a detailed table of contents, makes it easy to navigate. The only exception our instructor took with the text during my course was their insistence that only the best data scientists should be considered. Removing this bias, the information provided was clear, concise, and helpful for anyone working with big data or in data analytics."
alirenco,"From what I’ve read so far, it’s an informative book. I wish it would go into more depth with some subjects since I’m trying to transition to a data science career, but I am learning some things that I didn’t know before on how to approach answering certain business questions with machine learning. I think I would need another book for the in depth analyses how-to but this book is good for understanding concepts."
Michael,"I work in analytics and have some familiarity with some of the techniques and discussions in the book, but it does an excellent job going through at a good depth, several of the critical areas of data science. Really helpful for me and my career."
Zain Khandwala,"Provost and Fawcett's book is one of the very few in the field that neither condescends nor patronizes the reader as it explores the motivations and machinery behind the most commonly used data analysis techniques in the analytics professional's toolbox. While it stops short of providing detailed instruction on how to use these techniques, it provides the reader a solid foundation for taking this next hands-on step. And for those who are not working directly with data, but are otherwise stakeholders in the use of analytics to drive better organizational outcomes, this book will greatly enable you to understand and add value to the analytical process.

---
Zain Khandwala
Executive Director,
Institute for Advanced Analytics
Bellarmine University
Louisville, KY"
Frank Castillo,"This book was good! It shows how to use different machine learning techniques and how to interpret them, how to comunicate and how to measure the value that it could cause in the business. I thinks this book could be better if it had more examples with other techniques that usually are called ""Black boxes""."
Imsoyong,I’m very disappointed about book paper and printing due to low paper quality and pain black and white. Actually I bought this book as the color help me to recognize graph and enhance my understanding.
cryptoman,This is a great book that gives a top level view of machine learning and data science. It is particularly useful for non-technical readers who need to have a need to know the lingo for being able to follow conversations around the topic. It is also a great introduction for technical people who have never worked in data science before.
RaffiMK,"I worked for a number of years at Fair Isaac, a data science company founded in the 1950's. Although I'm not a data scientist myself, I spent quite a bit of time understanding how predictive analytics is used in different contexts. Foster and Provost have managed to complete a nearly impossible task: create the right ""translator"" to explain the math to the business people, and the business objectives to the analysts in a clear and compelling way. This is a must-read for both sides of the house!"
Ryan,"Excellent overview of many data science concepts! I recommend making a list of key words (concepts, terms, algorithms, etc.) that are mentioned. These can be very useful for making flashcards and identifying topics for further research. After reading the book you of course won't fully understand all of these concepts and terms, but there is significant utility in being aware of these concepts and ready to connect them while working on problems."
David L. Parnell,"If you are an analyst professionally or academically, this book profoundly and practically relates statistics to relevant business processes and data. If you are a professional data analyst this book will help you reorder and consolidate your work experience and knowledge while reinforcing and focusing your analytic abilities. If you are a student of data analytics, this book will accelerate your understanding of the required methods to become a practicing data analyst...and your ""customers"" will see this competence in your work and your presentation."
Hezekiah,The best book I've found so far at explaining the theory of Data Science. If you are looking to get into data science and don't want to just start plugging away with Python or R then this is a great starter book that will teach you the lingo and the concepts that surround data science.
Peter,"This book helps answer what the data science is about. It teaches you what kind of task and analysis you would do if you worked as a data scientist. The author emphasizes that it is rather ""conceptual"" than ""mathematical"", so it is greatly helpful to those without much math and/or statistics background. If you are into learning professional skill or knowledge, it may not be the book but it is still a good book to start if you need a general idea."
engagedconsumer_genx,"This book is fantastic. it's a perfect mix of high-level explanation and technical details. There doesn't seem to be much to help one actually execute the methods described, but that does not appear to be the author's intent (which is why there is no negative impact on my rating).
I appreciated the accessibility and plain English - albeit thorough - writing (from the perspective of a person who is self-taught in data science and sometimes less acquainted with the terminology)."
John Karlo Parra,"I read the book in parallel with the coursera course of applied data science with Python of Michigan University.
This book is an excellent complement in order to understand the real power and limitations of this kind of analysis.
I really enjoyed the math explanations that are scarce but important in order to understand what is really happening under the hood without being too technical."
jonathan,"This book will definitely open your mind to the possibilities and capabilities that business data provides.

If you have a close relationship to your marketing manager or executives, this book will make you shine when speaking at meetings or when you are setting up business plans.

It gives you the ability to look at data differently and make better decisions on what might have otherwise been difficult hurdles in the way of progress and innovation."
Viviana,"Book arrived as described. It also arrived a week earlier, which is great because I got it just before my class. Thank you!

This is a reliable company."
Jason L. Kennedy,"Good overview of Data Science for a manager or other non-data scientist.

I would recommend it for individuals wanting to understand the capabilities and high level process of data science. It is however limited in its depth if you want to really dig into the nuts and bolts of how data science is done."
Fabian Bautista,I bought this book to learn more about the concept of Data Science. This book is a good place for this. If you are familiar with Data Mining you will see that Data Science is the conceptual framework of Data Mining. Also you will find interesting concepts like the expected value framework for evaluating your models.
Carl Marquez,"It's a good, but hard read. I'd like to think of myself as above average when it comes to stats and math, but I had to reread several chapters to ensure I had the concept down. More of a book around machine learning. Still a good read, just take your time with it."
James Benton Lackey III,"This isn't really a book about the business applications of data science. Instead it has some businessy sounding bits and the start and end which feel like an afterthought. The middle seems like it was taken from a data mining textbook (or perhaps previously was one). Particularly strangely, it presents some math for machine learning but in a dumbed down way using notation the author invented (the strangest was a replacement for sigma as sum notation).

Rather than reading this you're probably better off reading a book about how business might be impacted by machine learning and related things (The Second Machine Age or Average is Over). Alternatively, if you want to know more about data science / data mining (now fairly deprecated term this book uses) or machine learning you'd be better off picking up Hastie's or Mitchell's book or taking Andrew Ng's course on Coursera."
Milo,"As someone without a strong DS background I was surprised how accessible this was. Really good overview in the first 25 pages and then goes into plenty of detail should you need it on specific techniques. For me: I really concentrated on the intro and the section summaries and will keep on the shelf for reference for the more detailed stuff, as and when those topics come up."
PLOM,"A well structured and well written inteoduction to this important subject. Clear examples are used and the fundàmentals reinforced in many places. Of special interest is the example proposal and evaluation in the appendix. A warning, this will really only make sense by reading the book."
