reviewer_name,review_text
redemption2017,"I appreciate the structure and examples provided in the book. It highlights aspects of the content that are often easy to overlook. In day-to-day work as a data scientist, tasks like product sense, comparing multiple algorithms, or coding algorithms from scratch are not always the focus. Preparing for interviews can be tricky, even for experienced data scientists, because we might miss important areas to focus on. To be honest, many data scientist roles don’t require such intensive coding or product sense, but the more interesting positions often do. So, I’m grateful for the reminders in the book.

The one challenge I find difficult to learn from a book, and something that can differentiate candidates in interviews, is how to effectively illustrate ideas and engage in conversation. As a non-native English speaker, I find it particularly hard to communicate naturally, perhaps due to cultural background, personality, or language barriers. While I can learn and memorize the structure from the book, turning that into a smooth, natural conversation with an interviewer remains a challenge for me. Sometimes I feel that the interaction can be a bit rigid. But overall, thank you for the valuable insights in the book."
Krishna B.,"This book is really great to brush up on the basics ofstatistics, ML and deep learning.
The way questions and usecases are structured will help to prepare on how to approach the questions during inyerviews. This book also has the guidance on career advice and job hunt aspects. As the title says, This is NOT for someone who is trying to learn datascience."
Amazon Customer,"Although I've been working as a data scientist since before ""data science"" was a buzzword, I was recruited for a data science position in ""big tech."" I wasn't necessarily looking for new opportunities when the recruiter approached me but I was interested. I normally approach interviews with some prep about the company, the role, and polishing off my resume and originally, that's how I approached this interview. Eventually, however, I learned that a lot of ""big tech"" companies have a significant breadth of knowledge that they cover in their interviews so I started digging into what I could expect.

The initial recruiter screen followed by the first technical phone screen were straightforward. After being informed that I was being moved on to the final round, I wanted to explore more of what my knowledge may have been missing. I don't remember how I discovered this book (likely through some blog about ""beating the [company] interview!"") but ""Ace the Data Science Interview"" ended up being tremendously helpful.

Much of the content was a reminder of what I needed to study, things I had forgotten since undergrad, especially in the probability and statistics chapters. The example questions in these chapters were great, putting me back in the mindset of test taker, making sure I understand the question, before diving in. The chapter on product sense was the most helpful for me as it codified a lot of the work I've been doing in recent gigs. Although I'm not a product manager, much of the product sense chapter helps non-PMs start to think like a PM and that chapter was a great primer to that portion of the interview.

Was this the only resource I used to get an offer? No. There's a lot of prep required if you want to do well in a knowledge-based interview. Of the resources I used to prep for my interview, was this the best one? Yes. I put together study guides, I read and researched, and I bought domain-specific books, but ""Ace the Data Science Interview"" was hands-down the best resource I had in prepping for this interview."
Adriana G.,"""Ace the Data Science Interview"" covers most of what you need to know for landing that initial phone screening and doing well in both the behavioral and technical interviews.

With such a complex and all-encompassing interview process that is unfortunately becoming more standardized by FAANG and other big tech companies, this book really helps in digesting what to expect and how to answer various number of questions that may come your way.

As for the technical, the book divides the technical chapters into 7 categories (which have some overlap) of Probability, Statistics, Machine Learning, SQL & DB Design, Coding, Product Sense, and Case Studies. While the book does cover the most important concepts of these topics, you should absolutely have a decent-to-strong knowledge of them beforehand (with the exception of product sense and case studies). The true value of the technical part of this book comes through from the sample questions and samples answers exemplifying good answers to realistic questions. Beyond the technical, I also gained a lot of value from their advice on how to prepare the behavioral interview.

The book also encourages and guides you to go above and beyond for your interviews which I wouldn't recommend for a job prospect you are not super excited about but is worth it for ones you are. For example, I took the advice of learning as much about my interviewers beforehand in order to ask them personally-tailored questions which allowed for a more friendly ambiance.

There are some cons such as typos and theory portion of the machine learning chapter was not so useful. It seems like they were in a bit of a rush to publish this book but honestly you shouldn't be coming to this book to learn Machine Learning and if you can look past the typos this book has great value for a data scientist looking to launch his/her career."
lisa williams,"When I first bought Ace the Data Science Interview, my goal was to improve my chances of landing a data science job by presenting myself in the best possible way during the job search process and preparing for behavioral and technical interviews. I'm happy to say that the book delivered exactly what I needed. The insights provided in the book helped me identify the right content to include in my resume, LinkedIn profile, and GitHub page, which ultimately helped me stand out from other applicants. I found the tips and questions throughout the chapters particularly useful in focusing my interview preparation and addressing many of the uncertainties I had about the interview process

Since I was using the book extensively, I have become well-versed with its content. I still find myself revisiting specific sections and figures that serve as great reminders or examples of certain concepts. This has been immensely helpful to me in my role as a data scientist, particularly in terms of communicating complex ideas to stakeholders within the business. I would even say that this aspect of the book's value is on par with, if not greater than, the help it provided me during my job search process. Overall, I am very grateful to have this resource at my disposal."
Gur H.,"tl;dr
Great advice for preparing for Data Science interviews. It will help you understand (i) what you should do to get an interview (ii) the structure of the interview, (iii) the type of questions asked and how to solve them, and most importantly (iv) how to formulate your answers in a clear and effective manner.

The first three chapters of the book provide sound advice on the things you should do before you even start applying for your dream job. These are (1) how to fix your resume, (2) how to go about building a portfolio of interesting projects, and (3) how to increase your chances of getting noticed by using cold emails.

Chapter 4 discusses the ""behavioral interview"", which in fact is part of any interview. This chapter is very short, but carries valuable insights and equips you with tools to think about how to structure your answers most effectively.

Chapters 5-9 are filled with questions and answers on the various aspects of a technical interview (probability and statistics, machine learning, SQL, and coding). The questions in each chapter are grouped by level of difficulty (easy, medium, hard), which is very helpful. The technical questions are great for understanding the type of questions asked during interviews, and moreover, help you realize the areas in which you should study more.

The last two chapters, 10-11, discuss product sense and case studies. This is a great resource and one that is often neglected in the standard learning regime for an interview.

I got the book when it came out, as I was already in the process of scheduling interviews. Overall, while I didn't have the time to complete all the technical questions, reading the book helped me throughout the different interviews. Specifically, the End-to-End ML Workflow in chapter 7 helped me to formulate my answers and excel in questions like ""Here's a problem. How would you go about solving it?"""
D L.,Great book! Really helpful and contains a lot of topics that are needed for data science interviews. Really like it.
shing,"I've been using this book + the associated Data Lemur website that Nick Launched very recently. A lot of tough gotcha SQL questions as well as ML + Stats practice. Nick personally responds to emails, and is very passionate about building his business.
Key points:
The product case questions are great, and even if you aren't going to be asked those specific questions the frameworks that they teach to answer them, can be applied to most if not all interview questions I have seen in my career as a Data Scientist.
The SQL practice is Useful(Though I bought Data Lemur and seeing their Words Coded out in Solutions probably makes a huge difference)
The Stats Section is great, not too dense like a normal textbook and enough content to get you through most technical/mathematical screens.
I can't speak much to the ML or Coding Sections but from what I've heard from friends the coding section will get you through a Senior or Lead position (Study the Algos!)

I hope this review will help you make an informed decision about purchasing the book.
(Some people have mentioned that the book is somewhat cringe at times with the jokes and references. However I think this is just the author trying to relate to his audience, as I found all the jokes and humor references to be well sprinkled out through the book, and provides a pretty refreshing break to the technical detail it encompasses)"
Jamala,"Great book for DS interviews, very clear framework and examples. Easy to follow and navigate through each topic"
Abe,This book is fantastic and even in 2025 I am getting asked questions that are almost exactly from this book from top data science companies. The business case section is one of the highlights it's a very powerful summary that puts you on the right track to getting good at these types of questions.
Leah N.,"What you will not find in this book is a comprehensive, thorough deep dive into each topic needed to be hired as a Data Scientist. It isn't a text book to teach you those concepts.

What this book does cover are the topics that could be asked during the interview process in a condensed format, as a review. This book assumes you have already done what it takes to learn the material thoroughly, through coursework and projects, and it gives you guidance on which topics are most important during the interview process, so you can sharpen those skills and have them available to be showcased during your next interview. Going through the book shows you where learning gaps exist, where concepts are a little rusty, and gives you an idea of the hierarchy of importance for the vast amount of skills required in this field. It is then up to you to reach for other resources to fill in those gaps. This book encouraged me to get uncomfortable, get out of my own way and make connections to land my first job as a Data Scientist.

I highly recommend this book for anyone beginning their journey in data science. It gives you the roadmap on how to land that first role and has been a valuable resource not only for me, but for everyone I have recommended it to as well."
Apoorva,"This book is a game-changer for anyone preparing for data science interviews. The questions cover everything from SQL and Python to machine learning and case studies, with clear explanations that make even tough concepts manageable. What I loved most is how practical and to the point it is—perfect for focused prep. While it’s heavy on technical content, a bit more on behavioral questions would’ve made it even better. Overall, a great resource!"
Ann H.,"Let me start by stating simply that Nick and Kevin have produced a wonderful book. First and foremost, it does an excellent job of teaching you how to make contact to get yourself in the door. Without a plan to do this, your resume is floating in a see of resumes from other hopefuls. This book shows you exactly how to succeed on the step that matters the most. If the book ended there, it would be worth the purchase, but it doesn't. The authors take the time to walk your through a solid core of the tools you will need to be able to exhibit; probability, statistics, machine learning, common database query tools (SQL) and database design, coding, products sense, and some case studies. Each with enough information to put you in control when it is time for the interview. Lastly, though it is likely the last thing people are looking for after years of education, they provide a large number of relevant exercises to cement what you have encountered throughout the book. I can't think of a more accessible book to help someone break into the world of data science. Oh, and if you have the time, reach out to the authors on LinkedIn for additional content and opportunities to make yourself valuable to the data science world."
A.K. W.,"The most useful part is the practice questions with solutions. The rest gives an overview of where to start, but to be able to answer the questions, you need additional outside resources. I wish the book gave recommendations, they cite a webpage that no longer exists."
Tuna,"The book is staying at a very high level and is not doing good enough of a job especially in the statistics and ML sections. The SQL section is decent but that's probably the easiest one to grasp/study without the need of this book anyway. The case study and product sense actions are pretty decent too, especially the questions and examples, but again you're not getting anything extra compared to what you can already find online for free. So instead of buying this book I would just recommend studying thru one of the LLM bots."
Zoe Hsu,"This book is a must-read for anyone preparing for data science interviews. It’s well-structured, covering both job hunting strategies and key technical topics like statistics and machine learning.

What I found most valuable were the case studies—they really encourage you to think critically. I loved working through the questions on my own before reviewing the solutions and thought processes. That kind of brainstorming is where the real learning happens.

With this book (and a little help from ChatGPT!), you can gain a solid edge in interviews. Solid 10/10!"
gadgetz,"This book is the perfect resource for those who have recently completed, or who are finishing up, a data science-related academic program, boot camp, or self-directed upskilling regimen.

It's also a great guide for those with a few years of experience who are ready to start interviewing for more senior DS/ML roles.

In short, if you have upcoming interviews in the datasphere, you should treat this book like oxygen...because it's what you need to survive and thrive where you're going!!!

The first four chapters deal with basics that you'll need to nail in order to captivate the attention of recruiters & hiring managers (e.g., nailing your resume, nailing your project portfolio, etc.).

The next 7 chapters will set you to work grappling with specific interview questions from a range of ""holy grail"" employers about probability, statistics, ML, SQL & DB design, coding, product sense, & case studies.

Example Question: ""Uber - Explain the Central Limit Theorem. Why is it useful?""

👆 The authors go on to provide a thorough solution (in this case multiple paragraphs that take up ~half of a page).

Notably, all 201 interview questions covered in the book include thorough solutions (hence the 290 pages!).

BOTTOM LINE: If you want to be competitive in data science interviews at FAANG-level companies - or utterly dominate data science interviews at average companies - then, this book should be your training ground of choice!"
vamsi kamatham,"I've been on the lookout for a go-to data science book, similar to 'Cracking the Coding Interview' by Gayle Laakmann McDowell. Thankfully, I found the perfect fit - 'Ace the Data Science Interview' by Kevin Huo and Nick Singh. This book is a concrete guide, taking you from building solid foundations to navigating real-world machine learning intricacies. It's worth reading to strengthen your data science fundamentals.

What stands out for me? The real interview questions from FAANG, tech startups, and Wall Street are a treasure trove for anyone preparing for data science interviews. Each chapter is packed with practical advice and tips that I found immensely helpful.

Plus, they've gone the extra mile, sharing real tips on resumes, portfolios, and networking - the kind of stuff schools don't teach you in a class setting.

Thank you, Kevin Huo and Nick Singh, for putting it together."
Amazon Customer,"I have only skimmed through the book and I have already found multiple mistakes. I got curious so I looked at the 1-star reviews of the book and there I found people with the same complaints as mine.

As an example of a mistake (which is also the most embarassing that I found): ""A p-value is the probability of observing the given test results under the null hypothesis assumptions."" (cf. Solution #6.6 p.63). Note that this is not simply a typo because the same exact sentence appears elsewhere (e.g. Solution #6.5), and, worst of all, this definition is used in the calculations (!!!). To illustrate why this is nonsensical, let us assume that we want to test the fairness of a coin (so the null hypothesis is ""Probability of heads is 0.5"" and the alternate hypothesis is ""Probability of heads is different from 0.5"") and we toss it n times, where n is sufficiently large. Then the probability, under the null hypothesis, of observing k heads (0 <= k <= n), is extremely small, for any k (exercise for the reader, use Stirling approximation). So the p-value would be always extremely small and you would always reject the null.
The other bad reviews give other examples of mistakes/typos that could be very dangerous to someone who is not sufficiently confident with the material.

That said, this book can still somehow be useful although it's very debatable whether it's worth 36$ -- a more reasonable range is 5-15. The questions are useful (however, note that the vast majority of them are not different from what you could find on Glassdoor). The list of topics can be useful to devise a study plan and track your progress. And I guess that many answers make sense, provided you know the material a bit.

There should be a massive warning sign on this book: ""Do not rely on the given solutions and do not learn any theory from it"". Just use it as a sort of grocery list of things that you should be comfortable with and test yourself here and there. Not more than that."
Shideh,"An excellent book that covers all aspects of data science! Whether you’re looking for a quick refresher or want to learn the fundamentals, this book has you covered. It spans everything from soft skills for interviews to the essential technical knowledge you need!"
JJ,"The questions here are pretty tough. There's not a lot of explanation of the concepts, but this isn't meant to be a textbook that teaches you the material, it's a practice guide for interviews and jogging your memory about what to study -- assuming you already know the material. I had to use other sources to fill in the gaps in some of the material I didn't understand, but the breadth of topics and practice questions is a great place to figure out what you know and don't know!"
Hao,This is a must-read for someone who is trying to land a Data Science role. I find the Product Sense and Case Studies sections especially helpful. These are not the skills you are taught in school so having a framework to work with gives you a solid head start when facing these questions during interviews.
Amazon Customer,"I have been reading this book to prepare for my transition into Data Science and I really appreciate the level of detail and the comprehensive amount of information that Nick and Kevin put into this thing. Plus, if you're looking for even more information Nick is super approachable and if you reach out to him he is very open to questions, feedback, and to offer additional advice. The one drawback is that the book can be a little intimidating since it pretty much applies to anyone going into Data Science, so that means people who are going to be Machine Learning Engineers at Google or a Blackrock Quant trader you will love this book, for your average Data Analyst some of the Hard interview questions go a little overboard.

Pros:
- Tons of information
- Lots of interview questions
- Great support from the authors

Cons:
- Some areas get too technical too quickly and can be intimidating, especially the HARD Stats questions
- The portfolio stuff is pretty generic and doesn't really walk you through any projects
- explanations of the more math-heavy topics don't tie in real-world examples super well"
Sung G. Kim,"This book has one of the most details regarding data scientist interviews.
If you don't have stats background like me, you would be meeting with lots of terms and concepts you never heard of in this book. Brush your skill as you go and you would be ready for tackling most difficult interviews in data science.
I like their case studies where you can learn from questions that may come up in your interviews."
pburg,"I'm a data scientist who does a lot of technical interviewing at a non-FAANG. I think this book is only useful if you're interviewing at FAANG or other blue blood companies with a certain old school style of interviewing.

I bought this book out of curiosity, mostly for the coding section. I was disappointed to find the coding section mostly covers ""classic"" questions that have little to do with your day-to-day competence in a DS role. Those classics are things like writing a function to return fibonacci numbers or sorting algorithms. I forgot I ever studied that stuff with a stronger CS flavor, and most of my colleagues would agree those aren't useful interview questions. I think this goes back to DS once being more dominated by computer scientists or physicists. Now, it's a broader role attracting social scientists and other backgrounds and interviews have changed to better identify that talent. This book does not adequately reflect that.

I can't blame the authors for covering this material. These are real interview questions you might face, especially at the big companies with a rote process. But the people I know giving those interviews don't believe in them.

There are also typos as others mentioned. I'm also not a fan of some of the cold-emailing strategies they advise, but that's more of a personal taste.

Edit: I decided to add a third star after reading other chapters more thoroughly. It's valuable to have a lot of this wisdom collected in one place, especially for the product sense chapter."
Rambo,"This book is a valuable resource for anyone preparing for a data science interview. It covers a wide range of topics, including probability, statistics, machine learning, SQL, Python coding, and product sense. The book also includes practice problems and solutions, which can help you test your knowledge and identify areas where you need to improve.
Overall, ""Ace the Data Science Interview"" is a comprehensive and helpful guide that can help you land your dream data science job."
Michelle H,"It is a scary thing to change careers after 30 years, but 25 years into my teaching career, I knew that data science was where I wanted to go next. This book has helped me tremendously with my resume, and given me invaluable insights on what should go into my online portfolio. Chapters 1 - 4 were so helpful for resumes and getting that first look by potential employers that I even bought a second book for my son who was beginning his first job hunt after graduating college. They are great tips for anyone in any field! The 201 questions, split up by topic in each chapter along with which company they came from, took me a couple of months to work through. They were truly the best review I could have asked for after all of the online courses and books I had used up to this point. This is an excellent book, and a resource that has actually given me the confidence that I am prepared for interviews. I highly recommend!"
